Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
140.23	40.000	149.72	0.0066792	67.834	94.551	4.6922	0.90837	2.5818	209.12	0.75165	12.539	0.022821	supercritical
140.95	40.000	146.83	0.0068104	69.126	96.367	4.7052	0.90172	2.4890	210.65	0.74715	12.499	0.022506	supercritical
141.67	40.000	144.14	0.0069377	70.370	98.121	4.7176	0.89561	2.4067	212.13	0.74240	12.465	0.022227	supercritical
142.38	40.000	141.61	0.0070615	71.573	99.819	4.7295	0.88995	2.3333	213.58	0.73744	12.437	0.021980	supercritical
143.10	40.000	139.24	0.0071821	72.739	101.47	4.7411	0.88471	2.2672	215.00	0.73234	12.414	0.021759	supercritical
143.82	40.000	136.99	0.0072998	73.871	103.07	4.7523	0.87982	2.2075	216.38	0.72712	12.396	0.021562	supercritical
144.53	40.000	134.86	0.0074149	74.973	104.63	4.7631	0.87525	2.1532	217.73	0.72181	12.381	0.021385	supercritical
145.25	40.000	132.85	0.0075275	76.047	106.16	4.7736	0.87097	2.1037	219.05	0.71643	12.370	0.021227	supercritical
145.97	40.000	130.93	0.0076379	77.097	107.65	4.7839	0.86695	2.0582	220.34	0.71102	12.362	0.021086	supercritical
146.68	40.000	129.09	0.0077463	78.123	109.11	4.7938	0.86316	2.0164	221.61	0.70557	12.356	0.020959	supercritical
147.40	40.000	127.34	0.0078527	79.129	110.54	4.8036	0.85958	1.9778	222.86	0.70011	12.353	0.020845	supercritical
148.12	40.000	125.67	0.0079573	80.115	111.94	4.8131	0.85619	1.9420	224.08	0.69464	12.353	0.020743	supercritical
148.83	40.000	124.07	0.0080603	81.083	113.32	4.8224	0.85298	1.9087	225.28	0.68918	12.354	0.020652	supercritical
149.55	40.000	122.52	0.0081617	82.034	114.68	4.8315	0.84993	1.8776	226.47	0.68374	12.357	0.020570	supercritical
150.27	40.000	121.04	0.0082616	82.969	116.02	4.8404	0.84702	1.8486	227.63	0.67831	12.362	0.020497	supercritical
150.98	40.000	119.62	0.0083601	83.890	117.33	4.8491	0.84426	1.8215	228.78	0.67292	12.369	0.020432	supercritical
151.70	40.000	118.24	0.0084573	84.797	118.63	4.8577	0.84162	1.7960	229.91	0.66755	12.377	0.020374	supercritical
152.42	40.000	116.91	0.0085533	85.692	119.91	4.8661	0.83909	1.7720	231.02	0.66222	12.387	0.020323	supercritical
153.13	40.000	115.63	0.0086481	86.574	121.17	4.8743	0.83668	1.7494	232.12	0.65693	12.398	0.020278	supercritical
153.85	40.000	114.39	0.0087419	87.445	122.41	4.8824	0.83437	1.7280	233.21	0.65168	12.410	0.020239	supercritical
154.57	40.000	113.19	0.0088345	88.306	123.64	4.8904	0.83215	1.7079	234.28	0.64647	12.423	0.020205	supercritical
155.28	40.000	112.03	0.0089262	89.156	124.86	4.8983	0.83003	1.6887	235.33	0.64131	12.437	0.020176	supercritical
156.00	40.000	110.90	0.0090169	89.997	126.06	4.9060	0.82798	1.6706	236.38	0.63619	12.452	0.020151	supercritical
156.72	40.000	109.81	0.0091067	90.829	127.26	4.9136	0.82602	1.6534	237.41	0.63113	12.468	0.020130	supercritical
157.43	40.000	108.75	0.0091956	91.652	128.43	4.9211	0.82413	1.6370	238.42	0.62611	12.485	0.020113	supercritical
158.15	40.000	107.72	0.0092837	92.467	129.60	4.9285	0.82231	1.6214	239.43	0.62114	12.502	0.020099	supercritical
158.87	40.000	106.71	0.0093711	93.275	130.76	4.9358	0.82056	1.6065	240.43	0.61622	12.520	0.020089	supercritical
159.58	40.000	105.73	0.0094576	94.075	131.91	4.9430	0.81887	1.5923	241.41	0.61136	12.539	0.020081	supercritical
160.30	40.000	104.78	0.0095434	94.867	133.04	4.9501	0.81724	1.5787	242.38	0.60654	12.559	0.020077	supercritical
161.02	40.000	103.86	0.0096286	95.654	134.17	4.9572	0.81566	1.5657	243.35	0.60177	12.579	0.020075	supercritical
161.73	40.000	102.95	0.0097130	96.433	135.29	4.9641	0.81414	1.5533	244.30	0.59706	12.600	0.020075	supercritical
162.45	40.000	102.07	0.0097968	97.207	136.39	4.9709	0.81267	1.5413	245.25	0.59240	12.622	0.020078	supercritical
163.17	40.000	101.21	0.0098800	97.975	137.49	4.9777	0.81125	1.5299	246.18	0.58778	12.643	0.020083	supercritical
163.88	40.000	100.37	0.0099626	98.737	138.59	4.9844	0.80988	1.5189	247.11	0.58322	12.666	0.020090	supercritical
164.60	40.000	99.555	0.010045	99.493	139.67	4.9910	0.80854	1.5084	248.02	0.57871	12.689	0.020099	supercritical
165.32	40.000	98.754	0.010126	100.24	140.75	4.9975	0.80726	1.4982	248.93	0.57424	12.712	0.020110	supercritical
166.03	40.000	97.971	0.010207	100.99	141.82	5.0040	0.80601	1.4885	249.83	0.56983	12.736	0.020122	supercritical
166.75	40.000	97.206	0.010287	101.73	142.88	5.0103	0.80480	1.4791	250.73	0.56546	12.760	0.020136	supercritical
